SPCD,n,B0,B1,B2,B3,B4,B5,B6,B7,B8
12,191742,100,0.0294122019878455,2.72631014531269,0.232027656251718,0.00212474094867643,8.50210288215704e-05,0,0,-0.184515660776687
17,25142,217,0.0201767283424291,2.41284722543799,0.610802692874421,-0.00118667777828117,4.35783601869631e-05,0,0,0.574994433877581
19,42828,146,0.0178535005146152,1.95083269551646,0.726028290768719,-0.000969883267613602,8.62652418642229e-05,0,0,0.30278430083254
61,8433,55,0.00831082878304361,0.797593958024864,0.144507890989039,0.0023292198194876,0.000571348156891469,0,0,-0.507138305529864
65,54893,40,0.000648808599603966,0.772363127716368,0.209231714661036,0.000781022555839476,-3.38358327261525e-05,0,0,0.0611635244934115
68,62560,98,0.0165823545962783,1.40006794596385,0.158607858226976,0.00336225796829617,0.000293973964673249,0,0,-0.324478599950581
71,37035,125,0.0164686521210774,2.1234295557058,0.382364053574924,5.77264372430868e-05,0.000134513845235896,0,0,-0.663755724085021
73,9687,186,0.0169935402490299,1.59914183974802,0.321791222947188,0.000311444711054814,4.64151998657861e-05,0,0,0.343371513337091
81,8896,212,0.010976088653076,1.96889088494753,0.525172168109928,0.00252519808318042,0.000104164139620546,0,0,-0.486919223524294
93,34925,186,0.0187625813237414,1.9974921657615,0.495989075221389,0.000761106850711832,0.000116275051770116,0,0,-0.0521143961905889
94,24644,110,0.0266594420742109,2.25415252612124,0.119381992347266,0.00221880914935415,8.43299418249347e-06,0,0,0.0421561813819982
95,70840,102,0.0173269318163954,2.33608820174541,0.222508366112612,0.00214455691583242,7.15985381572174e-05,0,0,-0.674029676724421
97,64479,124,0.0142025363572531,1.59160882343432,0.170339242135396,0.00307386185393764,1.44881493230728e-05,0,0,-0.329680833014988
110,54357,137,0.022473267445135,1.77147374278958,-0.110678894155147,0.00158002523695582,0.000238877378934582,0,0,0.058628546782243
111,77906,139,0.0431325974132984,3.2128469528707,-0.135177339787159,-0.000591014377998902,-0.00129957257686892,0,0,0.611309097081423
121,26528,138,0.0410981300905252,2.55528810985627,0.0576369852245347,-0.00229968899821522,-0.000278696341436424,0,0,0.77488031173117
122,85374,233,0.0125009576325778,1.50980793526718,0.524238716470022,0.00081350506130808,0.000113793226291807,0,0,0.0363168640239033
125,56597,120,0.0174506594770487,1.20113450702772,-0.0136963806958061,0.000559241857978583,-0.000216989023577581,0,0,0.218140801262304
129,76400,160,0.0178099052254228,1.88799616379624,0.00140353599747453,0.00252062924637503,-8.17337980678004e-05,0,0,0.127681059738551
131,500054,162,0.0376043777258803,2.9145985254319,-0.267892080776238,0.000789314852883294,-0.000215300985448777,0,0,0.37275128889212
132,29687,123,0.0260368093177395,1.97708898069536,-0.0802681724823182,0.00173985798292105,0.000119540846409321,0,0,-0.193632017246949
133,20800,65,0.0616192647441439,1.14800655591504,0.0156968161024551,0.00800350948940665,0.00704921845434021,0,0,0.0673217333188241
202,168070,303,0.0176462572303305,2.28556309898271,0.27636702714124,0.000187511456737544,0.00018376867870015,0,0,0.347927433310091
221,12096,135,0.0158216143516038,2.02845921778087,0.129886234988724,0.00141681589375039,-0.00140861046818147,0,0,-0.316649702818191
222,17045,130,0.0108946171581783,2.19440094006328,0.0335996859440888,0.00216142832443415,-0.000248618457801421,0,0,-0.718623061453225
241,115266,88,0.00759908108404392,1.20404140307787,0.0422182427902975,0.0034861454033668,-2.463148459525e-05,0,0,-0.825749340652688
261,73676,138,0.0109997723282795,1.50095339927829,0.0109893931547318,0.00286057966485842,3.28440215760106e-05,0,0,-0.263013484762635
263,36932,257,0.0204317732177388,2.66247094922479,0.322476942675017,0.000637420000149646,9.98702794425625e-05,0,0,0.450528168266457
316,366917,135,0.0149781672269242,1.75134273421215,0.0393513953876322,0.00364001286284744,2.26034124120977e-05,0,0,-0.563179233237068
318,198803,166,0.0112338143250606,1.8610485525464,0.0796131606591503,0.00516921441441199,3.93785222062484e-05,0,0,-0.986691748774864
351,6704,151,0.0327027342052164,2.77854305997149,-0.00342171040520108,0.00104693156251997,7.74116439684542e-05,0,0,0.360750325011632
371,50259,111,0.0158033852537905,1.81010556629518,0.0825766163283298,0.00367745920640847,1.47431118269299e-05,0,0,-0.840746679477697
372,30643,127,0.0192725159489857,1.8226269084718,-0.0581340327349987,0.00404448598008882,9.0789117599858e-06,0,0,-0.546221313857958
375,64643,124,0.0229087777297228,2.08440172760181,0.133832173396791,0.00276865386772867,0.000194697241472412,0,0,-0.555351394083048
391,19060,88,0.0162326087360959,1.34073366126508,0.013843808876203,0.0049687461985393,0.000397628251909026,0,0,-0.642971207049005
402,13657,150,0.0179246417231387,2.51325235020522,-0.00591099134081657,0.00330363401436995,2.28643738569249e-06,0,0,-0.378162382652196
403,35049,148,0.0144797616929614,2.17733823604908,-0.0939484964779265,0.00342268442946144,-9.68755080824651e-06,0,0,-0.186763825208914
407,24402,140,0.015199816024029,2.71416976981381,-0.0442044127798039,0.00369126698173312,1.87484914946261e-05,0,0,-0.572097345343239
408,16854,118,0.0116339474626822,1.96406303483269,0.00355981688317582,0.00634306566887475,2.83263925105721e-05,0,0,-0.901790732940301
409,37272,145,0.0137978524454621,2.01104286388403,-0.10024323518513,0.00491395530254457,6.86037541916327e-05,0,0,-0.464201325561154
461,10523,140,0.0164536291948279,1.91048952358554,0.194664276631041,0.00470738711982953,0.000496426231190444,0,0,-0.858710304187937
462,13636,129,0.0174008603485032,2.41637364668243,0.133101345583198,0.00486334468363713,2.80653655697739e-05,0,0,-0.855486048725054
531,84424,140,0.0132544456514297,1.94864130058556,0.0767058018811887,0.00497958705601374,3.44705273168481e-05,0,0,-0.971009684034796
541,45713,146,0.0151684737895679,2.0405827441106,0.110329309935857,0.00288924712158327,-9.22112806459011e-05,0,0,-0.476597459462067
543,48144,111,0.0170710044718129,2.03255944694585,0.0492953214752849,0.00282524332418649,5.85629866214995e-05,0,0,-0.559380232040453
602,14298,141,0.01855542418737,2.18468756916033,0.124671218286775,0.00316458301419427,-5.08966059031504e-06,0,0,-0.629823276761768
611,145935,159,0.0238177893637408,2.16072580563825,-0.0143827369161508,0.00189921048298321,-8.55399001446268e-05,0,0,0.233424381566723
621,88842,165,0.0239199248735214,2.64794326986622,-0.138809703967596,0.00210931884268521,-5.28207734182337e-06,0,0,0.0345789214655582
653,15226,122,0.0202525580367677,2.07908459188755,0.079080982754029,0.00310552877048572,-0.000504513327860304,0,0,-0.406062422223274
691,10734,133,0.0117386482331776,2.06748257720001,-0.067968916648587,0.0024992242454246,-0.000830258051263493,0,0,-0.64234952487759
693,55133,144,0.0138847880421152,1.9505057109559,0.0263571288270617,0.00469077054037826,0.000133076429798748,0,0,-0.553314812138954
694,38255,135,0.0116985002194782,2.06605103596539,0.0133497395702639,0.00271545584386028,-0.000378966042039638,0,0,-0.686099706707163
701,32843,94,0.0117340190331805,1.27904324356722,0.0794472706518619,0.00333969878260403,4.17776107419398e-05,0,0,-0.464759665711512
731,7382,160,0.0222559195869632,2.5691479266579,0.0130108349709842,0.00203653268930201,-0.00015023237990907,0,0,-0.262270484153285
743,31159,125,0.0258362578082618,2.77380266722959,0.0364829038901268,0.00228172162517704,-0.0001469492404732,0,0,-0.314981299959655
746,164426,123,0.0330931848201264,3.30019283868181,-0.0302505185889456,0.00128143690749117,0.000173152822227699,0,0,-0.206524370005509
756,10287,59,0.0109014684420803,1.44831964441793,0.422352475659677,0.00449330494292718,0.000254571861397677,0,0,-1.0579823439524
762,61929,160,0.014740813571145,1.9321910824923,0.0612051358218272,0.00357039208768773,-2.94209323928789e-05,0,0,-0.558627529225205
802,131427,155,0.0131797331846548,2.0252675238622,-0.11016637955098,0.00542335122357869,0.000100800443044114,0,0,-0.749129955870294
805,9234,115,0.00552131011192154,1.39664634501729,0.0700114264457747,0.00254319999452687,0.000112686925132641,0,0,-0.592175452184189
806,27924,152,0.0153125917574615,2.09304921947587,-0.110521263462353,0.00427947594671722,6.37344376215201e-05,0,0,-0.615659081521638
809,9365,110,0.020881612161587,2.45863100128511,-0.0885123070979745,0.0031844192208281,0.000132862062137333,0,0,-0.407524453313843
812,27513,140,0.0193449318023746,1.91833694810988,-0.147225118910004,0.0036241827381582,4.21220502545774e-05,0,0,-0.251938913705075
814,17250,93,0.00173022584923145,1.46029928804867,0.180687170563928,0.00022965097993137,-0.000132581737608579,0,0,-0.237509837037435
820,21563,137,0.0197795793580087,2.16435443041713,-0.0519474509697831,0.00322765011001023,-0.000161386382514668,0,0,-0.314432093340518
827,56918,143,0.0239495375238152,2.41307186409856,-0.0552615573638726,0.00373422033545787,-0.000192292697132251,0,0,-0.22427752577421
831,11316,150,0.0242671020841181,2.40854732485882,-0.156530229919696,0.00381919527848629,-0.000214925582488848,0,0,-0.0996040468124007
832,67197,158,0.00973878492378524,1.8419409727572,-0.124083172163641,0.00464452950641606,4.39473587222277e-05,0,0,-0.878451452093253
833,80650,158,0.0126055875100616,2.03151345158196,-0.0941177743037531,0.00392014221112658,4.98861115963841e-05,0,0,-0.777398545326228
835,58149,133,0.0117076984977387,2.12047237125803,0.0529170047826215,0.00611236734541001,0.000231139552755152,0,0,-1.29408034630317
837,49046,149,0.0119198540756899,2.05456608381068,-0.0917763607217986,0.00485843877839042,3.54938375060198e-05,0,0,-0.979086253076531
838,9843,118,0.0170969401061716,2.48114886686125,0.337417207908311,0.00292851773491373,0.000794140521883858,0,0,-0.982639987548542
901,9484,128,0.0198183873702789,2.02029656196765,0.0631134397907683,0.0016645175247079,6.1305190124508e-05,0,0,-0.346735800980616
931,15606,131,0.0138117059976437,1.72071403418129,-0.00489024061404513,0.00292647685273817,5.17281500701474e-05,0,0,-0.36941594304467
951,36887,147,0.0112577983815966,1.75662269537359,-0.0809913036091889,0.00433419704094168,-4.75619089598403e-05,0,0,-0.747479293685144
971,32720,131,0.0188807325551322,2.33872864317322,0.177581590678219,0.00478459781653559,0.000141606140436171,0,0,-0.653707917854717
975,12173,138,0.0170627619926862,2.25892337889387,0.0308496598041202,0.0043509254199099,3.25962936384907e-05,0,0,-0.584244005290211
