SPCD,n,deaths,b0,b_lnDBH,b_CR,b_CCH,b_driver
611,221233,47600,-2.51070132321908,-0.305091489324962,-0.956860397439619,0.333837976266668,0.0754773977382215
835,81207,9703,-2.72756820728431,-0.179679108147688,-2.94792426019039,0.879217643367923,0.000280250465080081
531,120592,14265,-2.84121650812405,0.173905729277524,-3.51404505494831,0.2843867656518,-0.213529135427899
521,11055,3090,-2.2333420292901,-0.203564439047783,-2.3157602026291,0.427556843350794,0.0807783271630618
491,32308,11348,-2.12648911376675,0.100389798031527,-2.70191913315638,0.407040015716897,0.0785473603019413
812,41641,8647,-2.34511355568866,-0.226933622027769,-1.62835173488351,0.480304745786324,0.0996500773133063
591,21917,3046,-3.0157267961427,-0.031395020117203,-1.55962464803963,0.192478535642132,0.129218308056903
827,87422,20880,-2.36871348409781,-0.146495798704984,-1.72190684412596,0.461333338534862,-0.0370685567708476
131,800801,266631,-1.85926189610134,-0.0822976248356109,-2.03008457047359,0.394077975075565,0.00369394835999647
802,191918,18886,-2.98962417944905,-0.0938660782900141,-3.06521707909146,0.791321479857092,0.0901562552889258
693,75792,8936,-2.7249556220444,-0.46080011111051,-1.75521691594717,0.229504851483481,0.215046501259731
316,549440,69284,-2.42851188457548,-0.278214184519773,-3.2404542274052,0.401029200303011,0.175823094806672
653,22666,4130,-2.5679985393792,-0.244096614190489,-2.26460584129699,0.341706675455126,-0.116448253099558
121,34551,5741,-2.84154692623442,-0.130846240405535,-1.29296596825007,0.424743638618103,-0.0942301907181684
221,15507,846,-4.28890349447527,-0.0264123433970583,-2.1789127443968,0.619975027650858,-0.305619228677221
972,75634,21266,-2.85777588120781,0.192963563823755,-1.26180542475055,-0.162263882257506,-0.21596102118626
951,65406,6703,-2.28715516374072,-0.436616081813085,-3.66127407599497,0.677612508277592,0.00630115903109007
391,30330,7044,-2.35977373284619,0.0861900679442923,-2.73997544548082,0.267636854558005,0.0559741910007803
111,132299,49244,-1.84104743622691,-0.0917603943414343,-1.8909860242481,0.324528056218501,-0.170365647909717
721,8102,3421,-1.86188309338296,-0.297136426538676,-0.580072503873767,0.0565494651607348,0.0402906870898287
824,11651,3329,-2.55687514176486,0.15651429849622,-2.30839090190714,0.664361878122783,0.0148686755577948
762,96539,17604,-1.73658519917877,-0.522020660788846,-3.25433328397246,0.507214242653276,0.0455671474670581
621,125696,17102,-2.14814730451577,-0.440760560970529,-2.63474309558509,0.508059317062668,0.0964532131209033
694,54663,6632,-2.90606692720477,-0.288991733054951,-1.74121402638033,0.271541884978006,-0.205747797528042
110,75871,14209,-2.32551711301162,-0.219469077508841,-2.16017836839544,0.487991695657731,-0.102382035963865
403,50780,4885,-2.99251709430907,-0.185298095654807,-2.81156720674782,0.620648855439962,0.136978354778118
820,32126,6733,-2.54435556824711,-0.160241517269204,-1.46185275820439,0.395652170511655,-0.0463848202431564
409,52665,5852,-2.90622087191939,-0.160165732414255,-2.55090404627037,0.542814949909743,0.13869904701553
711,46737,5844,-2.02605147197155,-0.575491862097447,-3.52552489160394,0.315759464660951,0.163050891074483
931,27752,7496,-1.73050621418202,-0.443309448188493,-3.0173881027532,0.450094477592456,0.127794513640987
68,77725,8338,-2.80628411986211,-0.335823762047723,-2.1951256496539,0.662476813906981,0.0777917230685556
373,5646,1307,-2.04166303693017,-0.208221186907567,-2.69034193154184,0.674803308484085,-0.0152433736169686
822,6027,674,-3.10075335427391,-0.080606933922981,-2.31034983236737,0.651823741919154,0.0223909055332114
691,15807,1568,-2.64328499756151,-0.583049319630476,-1.49569655815363,0.329590686644128,-0.269181094310915
701,47593,7609,-2.38868904475661,-0.0744362290115033,-3.15463317908955,0.250539231081215,0.12096323600244
837,79197,12607,-2.12253908160844,-0.195539919708359,-3.36110371930329,0.70315357934874,0.0992984442488847
731,11862,1466,-2.21838427647231,-0.463475272761276,-2.52193884816248,0.778671481878394,0.0936843757628884
994,8515,2960,-1.95584157666694,-0.238763262843677,-1.76827975267432,0.287218850927361,0.0634457538790745
544,73112,13436,-2.30477385614524,-0.170189270538298,-2.89290053447671,0.330955884026134,0.0386389039671967
971,44600,6680,-3.29360863080731,-0.0397083134960973,-1.1574026596183,0.350958187114898,0.115128261870366
461,15786,2947,-2.98816379198873,0.00504909338166466,-1.8448041026125,0.484841250780905,-0.0204578232961993
831,16718,3302,-2.66630585131849,-0.0727035541347993,-1.52349211576841,0.524731115686403,-0.0342281187969623
552,8375,1720,-1.86709250889536,-0.417178368110511,-2.19242398443598,0.580537313811144,0.189361884141342
602,21583,1848,-2.36325791935745,-0.377778537925391,-4.41555761074364,1.11718111483603,0.00397388096214522
975,21714,5266,-2.3910181534951,0.0179223301425052,-2.47344122247801,0.157922031300136,-0.1467374228504
742,8645,1687,-1.17640226515748,-0.646264284090914,-2.77488752443672,0.739295627397458,0.17211093308373
901,17773,4802,-1.14153952474177,-0.469349362599199,-4.25884522032722,0.547038492635001,0.00624664413394654
471,9946,3804,-1.85237105120729,0.022148190735965,-3.56949563806118,0.525216101590233,0.00648906340124923
311,5235,670,-2.92313637656003,-0.174390584247083,-2.47604772256053,0.581744210322768,-0.0416194202252904
922,10349,4305,-0.870743604575986,-0.530091638428324,-2.00287612792789,0.330648904780251,0.0690282488082934
313,24737,5570,-1.62783943397327,-0.28784883715592,-3.19854839528652,0.431491453701257,0.0768717534047865
838,12767,1733,-2.98901266449117,-0.443280332037115,-1.28950779029372,0.81566243549669,-0.0947233587979863
222,21724,1689,-2.99184838677765,-0.494280352276389,-2.14564978531811,0.162264407943702,-0.424891189375917
132,46853,12047,-2.12763166184648,-0.134512264027219,-2.54086260039451,0.526803867721898,0.0523333631216951
107,9054,3366,-3.3109424811697,0.452750487336515,-0.938944237247038,0.812516255762692,0.210634962047587
555,7620,2227,-2.57675012094782,-0.111289260272632,-0.711248270687335,0.262350026054048,-0.0819409874800963
500,7915,2330,-1.90979880185595,-0.299055803907703,-2.59684002805082,0.328920668240282,0.122011350234286
826,11982,887,-2.59890936345576,-0.270280183704638,-4.77507342127675,0.867783759513042,0.132072631991102
407,35054,2480,-2.64692856591879,-0.27202032993694,-4.17070899390148,0.779625193343173,0.0481965723636269
682,7565,1598,-1.66189833239697,-0.330920472314539,-3.58834804804773,0.327380594594327,0.0823395284891652
541,75100,14780,-2.21919540822496,-0.0457943022173367,-3.75911225223628,0.452335332834939,0.19064680022631
813,10180,1838,-2.70666867640001,-0.0629226415154111,-1.98185660033522,0.684169750962012,0.0191359835677318
402,20159,2020,-2.44204349658569,-0.19947950038619,-4.07567033491535,0.480983743591972,-0.0142245490265832
462,20348,1985,-2.81859585806568,-0.282961968736018,-3.0651940614014,0.513864256237832,0.0748884584516109
806,41393,5807,-2.91853573711717,0.125001507604893,-3.37174901932505,1.00652954745026,0.105176807500815
641,9615,1196,-1.92706868602427,-0.569898227239073,-2.97917999188168,0.411017222011577,0.0669386105413414
833,131665,13126,-2.57423836904438,-0.282596100741041,-3.08913161215826,0.666276424788052,0.139841296885286
832,96550,7959,-2.71001181969225,-0.0960319019081816,-4.54819435387773,0.725699227737169,0.0247998445391872
318,314887,28458,-2.6857388470441,-0.282125231038466,-3.59444248327277,0.591592127471338,-0.0989866552056809
761,6624,2410,-1.40528564379152,-0.082162457788897,-3.78288693600616,0.334792605478459,-0.169993136634494
356,10701,1974,-1.45847648117168,-0.50795045735855,-4.74685645161905,0.110779586280529,0.0630009325172283
317,15693,1943,-2.33591652763274,-0.347043151623809,-2.97615917161483,0.661382484124304,0.173671088675782
408,22624,2351,-2.80404609560172,-0.157745452871752,-2.64280374878041,0.491940209287559,0.104935178187537
341,5025,1174,-2.09471161098564,-0.228662048281565,-3.31516651386433,0.600560355131082,0.137148433661559
261,100094,8285,-2.76001062281371,-0.0775091242903562,-3.32830165020163,0.211578493668525,0.335743989077637
372,42140,3730,-1.95660250036436,-0.579088430446965,-4.27648587538994,0.411763224359358,0.0474838781252712
743,53007,10032,-1.70680325393637,-0.44053502654663,-3.80701725564232,0.692664784317976,0.16528191561896
912,7503,473,-3.22810012075901,-0.638317520888465,1.43028873596637,-0.371695321729097,-0.200804911842003
128,7431,1585,-2.90801488882795,-0.0457478234563067,-1.40529222918303,0.833746476994238,-0.13836295838826
126,13403,1166,-2.83229113915227,-0.132192040053034,-4.31180092803783,0.900454546471204,0.0412581533454056
315,18126,5572,-1.39278990012074,0.156429378185883,-4.46785065207417,0.263706000141206,0.163431786378291
129,101750,11344,-2.05943676618922,-0.465794207560296,-3.20486652868128,0.549313489474059,0.0574443044580087
319,6414,2985,-1.2254142458302,-0.276474955291433,-2.68069907836857,0.109328344230244,0.0126755238793049
371,77023,8254,-2.56907737849447,-0.102748174466544,-3.7914922490227,0.400466164177594,-0.105088134948354
202,213544,37608,-2.33392031084542,-0.341087944927419,-1.9382098776145,0.127434074681047,0.002890998553899
242,18370,2442,-3.06858037646444,-0.263008125180656,-1.41103757467177,0.00578469674140055,-0.0853141866263385
73,12237,2074,-2.28014781724664,-0.420039307762622,-2.65146933098829,0.397577418410695,0.179794501818555
746,303910,79584,-1.58519360226318,-0.360907792250472,-3.51053180536609,0.32067365230119,-0.116876953303001
263,47140,8796,-1.76485537230016,-0.430078521645316,-2.46686583912099,-0.205598858132593,-0.322270460650485
17,33294,7515,-2.46770143540848,-0.0875194348707934,-1.96483165795439,-0.0607493378671991,0.077431603648341
375,127092,25042,-2.27881431095517,-0.0162119869256699,-3.89594911324545,0.517465149632056,0.062137488154544
19,58284,14064,-2.52329679337491,0.159965154422657,-2.32799239890939,-0.107915197273531,0.117321643843663
93,47130,10321,-3.4331738273442,0.344960619560006,-1.77426567912211,0.0201929366121242,-0.136398591974355
122,111423,19381,-2.67953073584953,-0.185762383787564,-1.91093496153116,0.311963025229819,0.04754387783721
108,114543,30927,-3.68583368081826,0.442518149497983,-1.73648164292975,0.150851256671704,0.0385849124736791
101,8934,2658,-3.7967387237693,0.623569089789845,-1.92145040101733,0.112498463326194,-0.135985464804353
264,14844,1451,-2.55808919071824,-0.266390086154071,-2.60724759244669,-0.136736934405882,0.131988356518368
351,10581,3478,-1.99542834306687,-0.290568170721125,-2.68101345257374,0.574407021409593,-0.0826503229115115
475,6945,789,-3.12347936923216,-0.0833143492830538,-2.90713456288637,0.907087090614117,0.158704183541078
64,7818,755,-3.49935542656956,-0.339059853695636,-0.660772861536796,0.214771559410726,0.169582456993178
65,58189,1934,-3.3750523598298,-0.697513333806894,-0.838109919327744,-0.772608496762297,0.0362780004810702
66,11352,980,-3.93832461305454,-0.173753907182428,-0.913647446725138,0.482832049596096,0.0542368819959439
133,23656,2133,-3.33363050028346,0.0655551142510057,-2.11354431356023,-0.0174201174442308,-0.0649899145646314
543,77769,8353,-2.61374993423165,-0.264324799985546,-3.76180564322561,0.594001339100721,0.195547301891843
809,14355,2519,-2.17639039387402,-0.0925954257262252,-3.05053552072595,0.69193660655066,-0.15448928031503
823,34552,2303,-2.8433996705747,-0.365002422847296,-3.52364488099107,1.10488097925892,0.177034317160984
741,29148,8239,-1.50766629968514,-0.319632381323727,-3.56387147298784,0.773712463618263,0.0571311771449986
125,76911,8052,-2.40801402953008,-0.420402526660179,-2.22923974969184,0.564184267452949,0.137736126801777
105,43235,10927,-2.30436386695217,-0.0570900132785182,-2.70632651332232,1.16009131831372,0.118912346895649
94,36599,5419,-2.43291911573642,0.0819163655072649,-3.22032195775487,0.410190593014818,0.0753495765390232
71,54523,6077,-4.18083282136362,0.662187459150163,-2.45465553149682,0.737090577053597,0.15433803574109
379,5579,1502,-1.59229655338236,0.0673057524126523,-4.37420266921573,0.479234754776328,0.0806549022577599
97,82595,8734,-2.72575844047455,0.0274611163092065,-3.21733568514025,0.0864998639168234,-0.0228376003685113
12,285016,59097,-2.61400906416556,0.50071665529601,-3.28385209144331,0.159289555932057,0.103152472529653
241,181334,9347,-3.18052367265633,-0.0983118908331979,-4.29788291160932,0.341720404538607,0.0118255401846719
95,105685,14448,-3.59253993762548,0.505631556710596,-2.68821242434557,0.414038648917659,0.026053758043909
15,39608,9182,-2.56165412809293,-0.0649205620502044,-1.761978899625,-0.00680644812977219,-0.0550515766869187
106,42089,5168,-2.91207336414096,-0.110473175211922,-1.71223951402704,-0.300237811886162,-0.230989071451776
814,27264,7825,-2.39469214977451,-0.371513599012572,-2.0015623368899,0.222806782165252,0.0383626154042754
756,14037,3005,-2.77059999809846,-0.410845480168216,-1.30724746866241,1.0850226374237,0.0119136340016032
116,6680,865,-3.587307671405,0.0202860192590432,-1.64622718499023,0.37896092432096,0.0513568658358395
81,11529,2279,-2.7217776580273,-0.303996421325254,-1.01201687785755,0.0797619168113636,-0.106276884674983
20,7163,1376,-1.63308625111907,-0.360609436543779,-2.22617263670323,-0.215817851634715,0.0945570713492498
69,14712,539,-3.09193383065243,-0.443170517093314,-1.74395448946355,-0.704222538316878,0.0692071652948624
63,6432,514,-3.23392716287376,-0.0612938339656846,-2.83586836452636,0.489355759341933,0.0989418850733812
61,11136,2558,-3.60446190766703,-0.178097976974945,0.226436291757018,0.229326866919476,-0.0537199986513061
11,23669,3157,-3.25713818019059,-0.0116786561492975,-2.52706791359772,0.088172255174382,-0.028618398981719
312,5339,1054,-3.28167966803758,-0.227524358778339,-1.62340265797377,0.53950465356364,-0.0219178301931151
361,6317,1395,-1.66016124256118,-0.619566091397361,-3.08100411480948,0.193021537952333,-0.038919356087417
818,6866,1415,-3.37340562490917,0.109494195199359,-2.74333807977071,0.595285615120874,-0.110145532899449
631,15413,3398,-2.50837652040568,-0.199757068782884,-2.85866763569669,0.17865143611918,-0.0143738531350212
805,11932,2300,-2.41381545424447,-0.393765183310201,-2.01396954784616,0.103329008339559,-0.197088611106908
211,6315,696,-3.06316438178951,-0.262230201117182,-1.96516741590404,0.166002254313177,-0.0538469329457687
